Feature,Instance,X,Y,Checkin
A,1,4926.72,848.76,102
A,2,2846.74,3855.63,648
A,3,1204.83,1519.23,859
A,4,3663.98,2974.07,30
A,5,35.84,4893.38,643
A,6,4171.37,2079.3,609
A,7,627.84,1452.18,1014
A,8,4237.43,2967.7,555
A,9,1240.66,865.68,278
A,10,4469.27,4894.87,1388
A,11,766.41,4109.51,543
A,12,1957.78,1491.51,1672
A,13,1096.22,2339.81,910
A,14,820.38,3240.94,550
A,15,1745.96,599.43,266
A,16,4320.05,2278.3,3656
A,17,4248.57,4061.96,491
A,18,4577.53,1313.63,967
A,19,3324.78,4593.42,1438
A,20,934.23,3171.08,2649
A,21,811.76,170.91,968
A,22,3726.94,2252.95,150
A,23,4382.43,331.25,111
A,24,2659.82,2745.34,1655
A,25,2971.96,3732.54,1896
A,26,2153.91,1570.84,1096
A,27,3697.24,1815.69,474
A,28,3422.08,4846.58,3036
A,29,3397.84,4439.71,660
A,30,3016.56,4388.77,40
A,31,2754.37,4195.12,2826
A,32,1795.39,1103.76,2088
A,33,2381.76,2744.08,1797
A,34,539.45,3123.32,154
A,35,1641.29,2920.1,1815
A,36,3588.06,1463.91,2258
A,37,3783.8,4826.42,2620
A,38,3617.46,2943.78,765
A,39,204.9,3579.28,876
A,40,4490.0,2427.83,406
A,41,4775.23,1646.56,1466
A,42,2292.17,751.21,449
A,43,201.85,1274.82,588
A,44,3732.02,823.99,3045
A,45,2664.6,3109.66,2032
A,46,620.06,4530.89,240
A,47,1589.77,1244.53,1022
A,48,547.75,1796.04,1106
A,49,2594.35,2899.42,182
A,50,103.33,2121.22,1385
A,51,3473.1,884.58,918
A,52,3171.07,2531.59,457
A,53,3756.47,4703.75,218
A,54,4658.27,3832.93,612
A,55,3110.06,2177.13,194
A,56,685.9,4739.88,1939
A,57,4428.15,4294.8,1589
A,58,4063.91,467.65,453
A,59,4137.57,4199.07,1532
A,60,610.11,372.61,178
A,61,4366.7,4194.42,1594
A,62,3688.41,1732.72,1492
A,63,4728.52,1617.19,514
A,64,2009.19,1554.32,924
A,65,106.41,638.81,69
A,66,2068.34,4326.5,154
A,67,2108.77,651.38,692
A,68,2243.74,4718.44,843
A,69,3761.79,4445.43,330
A,70,4861.01,1129.01,458
A,71,2161.64,4227.78,916
A,72,1074.77,3137.27,781
A,73,2190.91,3920.9,753
A,74,92.85,4505.82,613
A,75,1857.25,4680.9,553
A,76,4678.49,4453.94,479
A,77,627.7,3216.12,342
A,78,4192.75,2924.32,2621
A,79,1464.66,3213.47,240
A,80,3477.93,2563.9,232
