Feature,Instance,X,Y,Checkin
A,1,67467.86,62568.76,4858
A,2,66806.44,63352.1,531
A,3,66842.74,62421.37,111
A,4,66594.47,62638.84,2835
A,5,66481.07,62601.97,1393
A,6,66528.09,64042.9,779
A,7,66569.12,64912.97,4167
A,8,66628.49,64323.27,717
A,9,66221.17,66786.73,1126
A,10,66178.68,64979.39,386
A,11,66247.12,65961.08,2860
A,12,66107.25,63492.05,2857
A,13,65922.74,67609.84,10592
A,14,66135.37,63980.25,112
A,15,66157.95,62559.55,6807
A,16,65908.47,64957.92,3748
A,17,66510.68,61959.31,1045
A,18,66187.54,66412.21,1936
A,19,65873.61,67012.48,1150
A,20,65831.97,65756.68,7526
A,21,65877.28,66130,2268
A,22,65800.84,61725.79,2970
A,23,65621.37,65247.79,8583
A,24,65551.91,63140.18,3352
A,25,65548.37,64511.44,1538
A,26,65376.12,65729.86,2297
A,27,65366.55,65221.04,2188
A,28,65574.28,63900.23,5883
A,29,65641.98,63375.1,2263
A,30,65358.03,66102.99,2522
A,31,65274.09,63458.44,2083
A,32,65348.56,66472.64,1516
A,33,65363.6,66700.52,1880
A,34,65480.79,62846.25,3123
A,35,65218.53,65114.23,6246
A,36,65401.6,62463.56,3149
A,37,65230.84,61784.28,3315
A,38,65100.54,60512.86,1220
A,39,65092.07,61399.63,603
A,40,65030.7,65160.41,1112
A,41,65013.78,65750.54,2611
A,42,64725.17,62025.07,240
A,43,64511.47,62444.24,6797
A,44,64321.04,62699.25,1324
A,45,64055.7,62651.34,1532
A,46,64063.03,61934.81,4902
A,47,63614.07,85200.32,3419
A,48,63417.36,62499.25,864
A,49,63142.71,84488.45,8392
A,50,63214.65,84861.83,1709
A,51,62918.72,85501.65,3087
A,52,62569.92,85870.96,715
A,53,62398.4,84977.17,1409
A,54,62395.22,77259.6,1448
A,55,62098.89,80425.22,921
A,56,62110.21,79829.27,370
A,57,62172.64,85470.49,914
A,58,62077.11,80857.47,4417
A,59,62042.44,79154.19,1391
A,60,62059.89,86243.63,274
A,61,62072.41,84226.39,10573
A,62,61896.8,84883.02,7343
A,63,61898.42,77678.23,143
A,64,61695.33,78493.63,3546
A,65,61668.33,85901.48,920
A,66,61464.14,84806.32,810
A,67,61469.96,85603.38,2175
A,68,61512.93,82154.43,2176
A,69,61615.55,82853.28,2944
A,70,61388.87,81041.64,923
A,71,61147.38,82231.74,9990
A,72,61290.34,78161.92,503
A,73,61151.47,84570.17,1011
A,74,61044,81610.43,211
A,75,61368.21,85194.52,603
A,76,61019.59,78534.69,7602
A,77,60989.31,82916.64,2863
A,78,60791.02,84321,1210
A,79,60785.74,82013.49,4765
A,80,60735.18,78991.46,1034
A,81,60608.32,75349.33,9587
A,82,60549.3,78393.2,2833
A,83,60637.85,76860.91,4520
A,84,60459.62,84251.71,6544
A,85,60394.34,77171.61,1150
A,86,60507.41,75727.47,30
A,87,60312.54,79169.47,806
A,88,60331.55,75188.81,111
A,89,60240.87,78214.85,4937
A,90,60153.17,83881.91,1131
A,91,60226.18,82166.51,552
A,92,60003.06,75073.47,163
A,93,60170.05,73598.95,5649
A,94,60056.87,79512.24,986
A,95,60225.66,74416.87,191
A,96,60127.13,77663.29,4171
A,97,60042.29,77370.48,908
A,98,60070.1,76728.05,3884
A,99,60040.71,78544.92,2211
A,100,59817.03,73565.16,796
A,101,59859.75,83683.73,1449
A,102,59792.31,78755.96,241
A,103,59761.54,82223.37,6709
A,104,59676.79,77948.14,2621
A,105,59601.7,73843.96,594
A,106,59705.68,79616.44,2101
A,107,59590.02,83582.03,157
A,108,59530.56,78857.9,4459
A,109,59890.79,82668.47,3495
A,110,59250.04,77340.53,1165
A,111,59142.08,78733.47,2090
A,112,59081.84,75254.06,6131
A,113,59204.03,73971.84,3867
A,114,59028.38,74408.44,2691
A,115,59245.31,83052.04,706
A,116,58834.43,69388.95,2476
A,117,58931.93,82181.51,6485
A,118,59006.38,78085.85,1731
A,119,58668.96,78855.55,1017
A,120,58659.44,73747.91,1647
A,121,58646.71,75626.43,5040
A,122,58703.24,74801.45,1618
A,123,58613.6,70041.78,4440
A,124,59052.19,79403.16,929
A,125,58551.85,74149.36,6623
A,126,58407.62,78640.27,668
A,127,58373.63,70382.09,1802
A,128,58300.5,75447.39,815
A,129,57892.47,72080.8,2570
A,130,57936.14,75819.1,1441
A,131,58106.36,70830.73,819
A,132,58212.5,71303.8,2623
A,133,57765.47,72589.62,3099
A,134,57839.5,75155.61,800
A,135,57948.63,71617.53,1907
A,136,57619.8,78513.11,3721
A,137,57806,78739.7,259
A,138,57675.17,73850,819
A,139,57551.05,71605.27,471
A,140,57594.96,74345.28,756
A,141,57493.74,75470.47,1104
A,142,57428.98,71926.87,7504
A,143,57397.52,73258.58,4244
A,144,57326.09,74480.08,4173
A,145,57428.43,72585.39,1662
A,146,57164.59,72647.7,8008
A,147,57219.22,72892.26,4036
A,148,57077.47,73404.48,625
